id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"158432585","Tameside","Commercial Property","Newmarket Road, Ashton-under-Lyne, Lancashire, OL7","£170,000","","","1","957 sq. ft.","957","957","89","89","For Sale: Mixed-Use Investment Property - £170,000 A two-storey mixed-use investment property located in Ashton-under-Lyne. Total area of 957 sq. ft, this property presents a fantastic investment potential with a sitting tenant on the first floor generating £350 PCM.","https://www.rightmove.co.uk/properties/158432585#/?channel=COM_BUY","2025-02-19T10:11:58Z","","new","Marketed by Kirkham Property, Chadderton","","53.4986","-2.10401","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/158432585/229673_484_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/158432585/229673_484_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/158432585/229673_484_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/158432585/229673_484_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/158432585/229673_484_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/158432585/229673_484_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/158432585/229673_484_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/158432585/229673_484_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/158432585/229673_484_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/158432585/229673_484_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/158432585/229673_484_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/158432585/229673_484_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/158432585/229673_484_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/158432585/229673_484_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/158432585/229673_484_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/158432585/229673_484_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/158432585/229673_484_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/158432585/229673_484_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/158432585/229673_484_IMG_18_0000_max_476x317.jpeg"
"169793537","Tameside","Commercial Property","Market Place,  Hyde, SK14 2LX","£495,000","Guide Price","","","","","","","","C & R Hulme are delighted to offer for sale this great investment opportunity in Hyde Town Centre. The property to be sold is part of a 4-storey detached building and on sale is the ground and","https://www.rightmove.co.uk/properties/169793537#/?channel=COM_BUY","2025-11-27T17:14:07Z","","new","Marketed by C & R Properties Ltd, Hulme Manchester","","53.45168","-2.078368","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21896/169793537/21896_crpr_1207566186_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21896/169793537/21896_crpr_1207566186_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21896/169793537/21896_crpr_1207566186_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21896/169793537/21896_crpr_1207566186_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21896/169793537/21896_crpr_1207566186_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21896/169793537/21896_crpr_1207566186_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21896/169793537/21896_crpr_1207566186_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21896/169793537/21896_crpr_1207566186_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21896/169793537/21896_crpr_1207566186_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21896/169793537/21896_crpr_1207566186_IMG_09_0000_max_476x317.jpeg"
"169734590","Tameside","Mixed Use","2/4 Old Cross Street, Ashton-Under-Lyne, Greater Manchester, OL6","£330,000","Offers in Region of","2","2","","","","","","Discover a prime investment opportunity in the heart of Ashton-under-Lyne. This income-generating commercial property features 2 lock-up shops and 2 spacious 2-bedroom self-contained apartments, generating over £33,000 PA when fully let.Presenting a lucrative investment opportunity in the vibrant h","https://www.rightmove.co.uk/properties/169734590#/?channel=COM_BUY","2025-11-27T14:40:28Z","","new","Marketed by MUSTAFA&CO PROPERTY MANAGEMENT LTD, Manchester","","53.48893","-2.0897","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4bd0fc8b0/169734590/4bd0fc8b0e5d430ee535328b0b238828_max_476x317.jpeg"
"146519552","Tameside","Healthcare Facility","Old Street, Ashton-Under-Lyne, Greater Manchester, OL6","£69,000","Offers in Region of","","","","","","","","Are you ready to step into the world of beauty and entrepreneurship? Your opportunity awaits here with a well-established and thriving beauty business located in the heart of Ashton-Under-Lyne. Take the reins of this flourishing business and make your mark in the beauty industry.","https://www.rightmove.co.uk/properties/146519552#/?channel=COM_BUY","2024-04-06T11:50:19Z","","new","Marketed by Goodwins Business Brokers Ltd, Covering - Nationwide","","53.48688","-2.09765","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/146519552/263843_GO2852_IMG_00_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/146519552/263843_GO2852_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/146519552/263843_GO2852_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/146519552/263843_GO2852_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/146519552/263843_GO2852_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/146519552/263843_GO2852_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/146519552/263843_GO2852_IMG_03_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/146519552/263843_GO2852_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/146519552/263843_GO2852_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/146519552/263843_GO2852_IMG_01_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/146519552/263843_GO2852_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/146519552/263843_GO2852_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/146519552/263843_GO2852_IMG_02_0002_max_476x317.jpeg"
"169776914","Tameside","Commercial Property","219-221 Stamford Street, Ashton-Under-Lyne, Greater Manchester, OL6 7QH","£230,000","Guide Price","","","","","","","","Guide Price: £230,000 A residential development opportunity comprising a former HSBC Bank extending to 320 Sq.M (3,444 Sq.Ft) (source EPC) with approved planning permission for conversion into 5 self contained apartments with large basement and 4 car parking spaces. Internally the buil...","https://www.rightmove.co.uk/properties/169776914#/?channel=COM_BUY","2025-11-27T12:22:10Z","","new","Marketed by PUGH & COMPANY LIMITED, Manchester","","53.485508","-2.104034","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_31_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_33_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_34_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_35_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_36_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_37_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_38_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_39_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_40_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_41_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_42_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_43_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_44_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_45_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_46_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_47_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_48_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_49_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184055/169776914/184055_120986FH_IMG_50_0000_max_476x317.jpeg"
"169770737","Tameside","Land","Land and Roadway, Huddersfield Road, Abney Grange, Mossley, Ashton-under-Lyne, Greater Manchester, OL5 9LP","£1,000","Guide Price","","","","","","","","FOR SALE BY ONLINE AUCTION WEDNESDAY 17TH DECEMBER 2025 AT 9.00AM - ***AN EXCELLENT OPPORTUNITY TO ACQUIRE A FREEHOLD PLOT OF LAND AND ASSOCIATED ROADWAY, IDEALLY LOCATED IN THE SOUGHT AFTER ABNEY GRANGE AREA OF MOSSLEY***CLOSE PROXIMITY TO LOCAL AMENITIES***POTENTIAL FOR A RANGE OF USES (SUBJECT...","https://www.rightmove.co.uk/properties/169770737#/?channel=COM_BUY","2025-11-27T10:46:49Z","","new","Marketed by Online Property Auction Group, Glasgow","","53.51516","-2.027345","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169770737/236495_320610_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/169770737/236495_320610_IMG_01_0000_max_476x317.jpeg"
"169460549","Tameside","Retail Property (high street)","Stamford Street, Mossley","£160,000","Offers Over","","","","","","","","Selling a versatile and substantial commercial property situated in the heart of Mossley, offering generous accommodation arranged over three floors. The property benefits from a visible shop front, perfect for attracting passing trade, making it ideal for a range of business uses such as retail,...","https://www.rightmove.co.uk/properties/169460549#/?channel=COM_BUY","2025-11-18T17:11:03Z","","new","Marketed by Home Estate Agents Ltd, Stalybridge","","53.518329","-2.046241","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71872/169460549/71872_34312974_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71872/169460549/71872_34312974_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71872/169460549/71872_34312974_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71872/169460549/71872_34312974_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71872/169460549/71872_34312974_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71872/169460549/71872_34312974_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71872/169460549/71872_34312974_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71872/169460549/71872_34312974_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71872/169460549/71872_34312974_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71872/169460549/71872_34312974_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71872/169460549/71872_34312974_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71872/169460549/71872_34312974_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71872/169460549/71872_34312974_IMG_12_0000_max_476x317.jpeg"
"169241147","Tameside","Commercial Property","Mossley, Ashton-under-Lyne, Lancashire, OL5","£195,000","","","","1,329 sq. ft.","1329","1329","123","123","FOR SALE / TO LET - £195,000 / £15,000 PER ANNUM EXCLUSIVE Audley Street Works offers a versatile single-storey office building situated in a convenient and accessible to local amenities. The property provides well-proportioned office accommodation suitable for a varie...","https://www.rightmove.co.uk/properties/169241147#/?channel=COM_BUY","2025-11-11T16:46:28Z","","new","Marketed by Kirkham Property, Chadderton","","53.5138","-2.03683","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/169241147/229673_579_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/169241147/229673_579_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/169241147/229673_579_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/169241147/229673_579_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/169241147/229673_579_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/169241147/229673_579_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/169241147/229673_579_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/169241147/229673_579_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/169241147/229673_579_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/169241147/229673_579_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/169241147/229673_579_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/169241147/229673_579_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/169241147/229673_579_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/169241147/229673_579_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/169241147/229673_579_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/169241147/229673_579_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/169241147/229673_579_IMG_16_0000_max_476x317.jpeg"
"169167896","Tameside","Industrial Park","Countess Street, Ashton-under-lyne, OL6 6UE","£225,000","Offers in Region of","","","2,072 sq. ft.","2072","2072","192","192","Unit 7 Countess Street comprises a detached single storey workshop/business unit divided into two split level linked bays, the upper one of which has level loading/vehicle access with roller shutter door. It extends to 192.49 sq m (2,072 sq ft), or thereabouts, overall and incorporates entrance/r...","https://www.rightmove.co.uk/properties/169167896#/?channel=COM_BUY","2025-11-10T10:06:10Z","","new","Marketed by Breakey & Nuttall Chartered Surveyors, Royton","","53.484325","-2.081518","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169167896/277697_3743FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169167896/277697_3743FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169167896/277697_3743FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169167896/277697_3743FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169167896/277697_3743FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169167896/277697_3743FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169167896/277697_3743FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169167896/277697_3743FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169167896/277697_3743FH_IMG_08_0000_max_476x317.jpeg"
"723058409638352","Tameside","Pub","Mossley Central Conservative Club, 6-8 Mountain Street, Mossley, Ashton-under-Lyne, OL5 0EY","£350,000","Offers in Excess of","","","4,792 sq. ft.","4792","4792","445","445","Vacant Three Storey Social Club with Adjoining Steward’s House","https://www.rightmove.co.uk/properties/723058409638352#/?channel=COM_BUY","2025-12-04T14:55:46Z","","new","Marketed by Savills, Manchester - Licensed Leisure","","53.517482","-2.044525","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723058409638352/225518_336448-1_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723058409638352/225518_336448-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723058409638352/225518_336448-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723058409638352/225518_336448-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723058409638352/225518_336448-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723058409638352/225518_336448-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723058409638352/225518_336448-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723058409638352/225518_336448-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723058409638352/225518_336448-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723058409638352/225518_336448-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723058409638352/225518_336448-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723058409638352/225518_336448-1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723058409638352/225518_336448-1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723058409638352/225518_336448-1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723058409638352/225518_336448-1_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723058409638352/225518_336448-1_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723058409638352/225518_336448-1_IMG_16_0000_max_476x317.jpeg"
