id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"87210870","Northumberland","Light Industrial","7 Bassington Industrial Estate, Cramlington, Northumberland, NE23","£238,000","","","","2,000–2,173 sq. ft.","2000","2173","186","202","HIGH-YIELD INDUSTRIAL INVESTMENT - 8.5% NET RETURNUnit 7, Bassington Lane, Cramlington, Newcastle, NE23 8AFFreehold industrial unit producing £20,280 p.a., let on a new 10-year full repairing lease, with rent reviews to the higher of RPI or market rent.Guide Price: £238,000 | Yield: 8.5%","https://www.rightmove.co.uk/properties/87210870#/?channel=COM_BUY","2025-07-10T15:13:38Z","","new","Marketed by Sandringham Investments, Harrow","","55.0924","-1.61484","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ff378a58f/87210870/ff378a58f3efdced175d997ea920a338_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1b9ae2845/87210870/1b9ae28453e8c3245ed2dc00ba8ea449_max_476x317.jpeg"
"168023816","Northumberland","Mixed Use","90 Front Street East/1 Vicarage Gardens, Bedlington","£199,950","Offers in Excess of","","","","","","","","Freehold mixed-use investment opportunity. Spacious three-bedroom flat 115 sq m (1,238 sq ft), currently tenanted. Ground floor retail/office unit 131.6 sq. m. (1,416 sq ft), currently vacant. Rental Income from flat £9,900 per annum. Prominent position on Bedlington’s main High Stree...","https://www.rightmove.co.uk/properties/168023816#/?channel=COM_BUY","2025-10-09T11:28:48Z","","price_reduced","Marketed by Rook Matthews Sayer, Newcastle Upon Tyne - Commercial Properties","","55.130074","-1.591911","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/168023816/63935_12635558_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/168023816/63935_12635558_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/168023816/63935_12635558_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/168023816/63935_12635558_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/168023816/63935_12635558_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/168023816/63935_12635558_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/168023816/63935_12635558_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/168023816/63935_12635558_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/168023816/63935_12635558_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/168023816/63935_12635558_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/168023816/63935_12635558_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/168023816/63935_12635558_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/168023816/63935_12635558_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/168023816/63935_12635558_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/168023816/63935_12635558_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/168023816/63935_12635558_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/168023816/63935_12635558_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/168023816/63935_12635558_IMG_17_0000_max_476x317.jpeg"
"168029153","Northumberland","Hotel","The Manor House, Main Street, Haltwhistle, Northumberland","£595,000","Guide Price","10","10","","","","","","A characterful coaching inn offering bar, restaurant and guesthouse accommodation in a bustling Northumberland market town","https://www.rightmove.co.uk/properties/168029153#/?channel=COM_BUY","2025-10-09T12:29:28Z","","price_reduced","Marketed by Finest, North East","","54.970561","-2.458058","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56415/168029153/56415_51043ff0-0ae7-4c21-b3f0-998ae9be9630_IMG_27_0000_max_476x317.jpeg"
"146770364","Northumberland","Cafe","Coffee & Kuriosities, Allen Mill, Allendale, Northumberland","£29,950","","","","","","","","","Family run coffee shop business. Two storey unit 104 sq. m. (1,126 sq. ft.) with additional patio area. Business benefits from a premises licence. Huge scope to increase turnover. Site includes scheduled ancient monument / brewery / Indian restaurant etc. Electric car charging point. Rent £...","https://www.rightmove.co.uk/properties/146770364#/?channel=COM_BUY","2024-04-12T17:10:57Z","","price_reduced","Marketed by Rook Matthews Sayer, Newcastle Upon Tyne - Commercial Properties","","54.904","-2.263702","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/146770364/63935_11946381_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/146770364/63935_11946381_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/146770364/63935_11946381_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/146770364/63935_11946381_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/146770364/63935_11946381_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/146770364/63935_11946381_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/146770364/63935_11946381_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/146770364/63935_11946381_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/146770364/63935_11946381_IMG_08_0000_max_476x317.jpeg"
"162911393","Northumberland","Commercial Property","3 Bellway House, Woodhorn Road, Ashington","£75,000","Offers in Excess of","","","","","","","","Ground floor retail investment. Rental income £6,000 per annum. 8 % Yield on asking price. Floor area circa 49.5 sq. m. (532 sq. ft.)*. Tenanted by M & H Bakes. Prime town centre location. Electric roller shutters. Freehold: Offers in Excess of £75,000 Ref I250 ","https://www.rightmove.co.uk/properties/162911393#/?channel=COM_BUY","2025-06-05T15:31:17Z","","price_reduced","Marketed by Rook Matthews Sayer, Newcastle Upon Tyne - Commercial Properties","","55.18273","-1.568775","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/162911393/63935_12681797_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/162911393/63935_12681797_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/162911393/63935_12681797_IMG_02_0000_max_476x317.jpeg"
"169789205","Northumberland","Hotel","Cottage Road, Wooler, NE71","£550,000","Guide Price","18","18","","","","","","FOR SALE BY ONLINE AUCTION ENDING 15TH DECEMBER 2025 AT 12PM. THE PROPERTY IS SOLD UNDER UNCONDITIONAL AUCTION TERMS AND CONDITIONS.","https://www.rightmove.co.uk/properties/169789205#/?channel=COM_BUY","2025-11-27T16:04:01Z","","new","Marketed by Auction Works, Tyne & Wear","","55.551161","-2.016086","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296009/169789205/296009_86c94e97-d2e3-4baa-9c97-654ef5984453_IMG_26_0000_max_476x317.jpeg"
"169750730","Northumberland","Commercial Property","1A, Westgate, Haltwhistle, Northumberland NE49 9AF","£45,000","Guide Price","","","","","","","","Auction Sale - 09/12/2025 - To book viewings, view the legal pack and register to bid please refer to the full sales particulars on the Savills Auctions website A end of terrace retail investment opportunity. Comprising a retail store at ground floor trading as a clothing store. Investment ...","https://www.rightmove.co.uk/properties/169750730#/?channel=COM_BUY","2025-11-26T16:53:17Z","","new","Marketed by Savills Auctions, London","","54.97002","-2.46047","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169750730/80881_198-20083_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169750730/80881_198-20083_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169750730/80881_198-20083_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169750730/80881_198-20083_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169750730/80881_198-20083_IMG_00_0000_max_476x317.jpeg"
"169750700","Northumberland","Commercial Property","1 Westgate, Haltwhistle, Northumberland NE49 9AF","£55,000","Guide Price","","","","","","","","Auction Sale - 09/12/2025 - To book viewings, view the legal pack and register to bid please refer to the full sales particulars on the Savills Auctions website A mid terrace retail investment opportunity. Comprising a retail store at ground floor trading as a book store. Investment fully l...","https://www.rightmove.co.uk/properties/169750700#/?channel=COM_BUY","2025-11-26T16:52:58Z","","new","Marketed by Savills Auctions, London","","54.97002","-2.46047","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169750700/80881_198-20082_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169750700/80881_198-20082_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169750700/80881_198-20082_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169750700/80881_198-20082_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169750700/80881_198-20082_IMG_03_0000_max_476x317.jpeg"
"169705340","Northumberland","Retail Property (high street)","160-162 Main Street, Seahouses, NE68","£595,000","Guide Price","","","2,237 sq. ft.","2237","2237","208","208","Description: 160–162 Main Street comprises an attractive and versatile mixeduse property situated in the heart of Seahouses. The building offers a high-quality four-bedroom residential dwelling together with an integral commercial premises currently fitted out as a wellness/gym space, but s...","https://www.rightmove.co.uk/properties/169705340#/?channel=COM_BUY","2025-11-25T16:17:32Z","","new","Marketed by Bradley Hall, Newcastle Upon Tyne","","55.576706","-1.665857","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169705340/282893_CMR250215_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169705340/282893_CMR250215_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169705340/282893_CMR250215_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169705340/282893_CMR250215_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169705340/282893_CMR250215_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169705340/282893_CMR250215_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169705340/282893_CMR250215_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169705340/282893_CMR250215_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169705340/282893_CMR250215_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169705340/282893_CMR250215_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169705340/282893_CMR250215_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169705340/282893_CMR250215_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169705340/282893_CMR250215_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169705340/282893_CMR250215_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169705340/282893_CMR250215_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169705340/282893_CMR250215_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169705340/282893_CMR250215_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169705340/282893_CMR250215_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169705340/282893_CMR250215_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169705340/282893_CMR250215_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169705340/282893_CMR250215_IMG_20_0000_max_476x317.jpeg"
"169884476","Northumberland","Land"," Former, St Marks Church, Wellwood Street, Amble, Morpeth , NE650EL","£144,000","Guide Price","8","","","","","","","** Deadline for Offers - 05 December 2025 ** DEVELOPMENT OPPORTUNITY WITH FULL PLANNING for the CONVERSITON INTO 3 APPARMENTS at St Marks Church at, Amble, Northumberland. planning ref: 24/00193/FUL. FREEHOLD. SUIT SHREWD BUILDER / INVESTOR. .","https://www.rightmove.co.uk/properties/169884476#/?channel=COM_BUY","2025-12-01T15:31:31Z","","new","Marketed by Future Property Auctions, Glasgow","","55.3316","-1.58479","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169884476/43917_14291645_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169884476/43917_14291645_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169884476/43917_14291645_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169884476/43917_14291645_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169884476/43917_14291645_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169884476/43917_14291645_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169884476/43917_14291645_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169884476/43917_14291645_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/169884476/43917_14291645_IMG_08_0000_max_476x317.jpeg"
