id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169788602","Inverclyde","Office","20 Union Street, Greenock, PA16","£650 pcm","","","","Step into a workspace that makes business feel good.","https://www.rightmove.co.uk/properties/169788602#/?channel=COM_LET","2025-11-27T15:55:20Z","","price_reduced","Marketed by McArthur Scott, Gourock","","55.951504","-4.766798","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788602/182993_0211f895-d4f9-489e-8cde-9d9500298f8f_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788602/182993_0211f895-d4f9-489e-8cde-9d9500298f8f_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788602/182993_0211f895-d4f9-489e-8cde-9d9500298f8f_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788602/182993_0211f895-d4f9-489e-8cde-9d9500298f8f_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788602/182993_0211f895-d4f9-489e-8cde-9d9500298f8f_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788602/182993_0211f895-d4f9-489e-8cde-9d9500298f8f_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788602/182993_0211f895-d4f9-489e-8cde-9d9500298f8f_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788602/182993_0211f895-d4f9-489e-8cde-9d9500298f8f_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788602/182993_0211f895-d4f9-489e-8cde-9d9500298f8f_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788602/182993_0211f895-d4f9-489e-8cde-9d9500298f8f_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788602/182993_0211f895-d4f9-489e-8cde-9d9500298f8f_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788602/182993_0211f895-d4f9-489e-8cde-9d9500298f8f_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788602/182993_0211f895-d4f9-489e-8cde-9d9500298f8f_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788602/182993_0211f895-d4f9-489e-8cde-9d9500298f8f_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788602/182993_0211f895-d4f9-489e-8cde-9d9500298f8f_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788602/182993_0211f895-d4f9-489e-8cde-9d9500298f8f_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788602/182993_0211f895-d4f9-489e-8cde-9d9500298f8f_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788602/182993_0211f895-d4f9-489e-8cde-9d9500298f8f_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788602/182993_0211f895-d4f9-489e-8cde-9d9500298f8f_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788602/182993_0211f895-d4f9-489e-8cde-9d9500298f8f_IMG_19_0000_max_476x317.jpeg"
"169788227","Inverclyde","Office","20 Union Street, Greenock, PA16","£325 pcm","","","","Step into a workspace that makes business feel good.","https://www.rightmove.co.uk/properties/169788227#/?channel=COM_LET","2025-11-27T15:48:24Z","","price_reduced","Marketed by McArthur Scott, Gourock","","55.951504","-4.766798","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788227/182993_f27f8082-88de-4e3e-94a0-fbae37eee2de_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788227/182993_f27f8082-88de-4e3e-94a0-fbae37eee2de_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788227/182993_f27f8082-88de-4e3e-94a0-fbae37eee2de_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788227/182993_f27f8082-88de-4e3e-94a0-fbae37eee2de_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788227/182993_f27f8082-88de-4e3e-94a0-fbae37eee2de_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788227/182993_f27f8082-88de-4e3e-94a0-fbae37eee2de_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788227/182993_f27f8082-88de-4e3e-94a0-fbae37eee2de_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788227/182993_f27f8082-88de-4e3e-94a0-fbae37eee2de_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788227/182993_f27f8082-88de-4e3e-94a0-fbae37eee2de_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788227/182993_f27f8082-88de-4e3e-94a0-fbae37eee2de_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788227/182993_f27f8082-88de-4e3e-94a0-fbae37eee2de_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788227/182993_f27f8082-88de-4e3e-94a0-fbae37eee2de_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788227/182993_f27f8082-88de-4e3e-94a0-fbae37eee2de_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788227/182993_f27f8082-88de-4e3e-94a0-fbae37eee2de_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788227/182993_f27f8082-88de-4e3e-94a0-fbae37eee2de_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788227/182993_f27f8082-88de-4e3e-94a0-fbae37eee2de_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788227/182993_f27f8082-88de-4e3e-94a0-fbae37eee2de_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788227/182993_f27f8082-88de-4e3e-94a0-fbae37eee2de_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788227/182993_f27f8082-88de-4e3e-94a0-fbae37eee2de_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169788227/182993_f27f8082-88de-4e3e-94a0-fbae37eee2de_IMG_19_0000_max_476x317.jpeg"
"169788461","Inverclyde","Office","20 Union Street, Greenock, PA16","£495 pcm","","","","Step into a workspace that makes business feel good.","https://www.rightmove.co.uk/properties/169788461#/?channel=COM_LET","2025-11-27T15:52:44Z","","price_reduced","Marketed by McArthur Scott, Gourock","","55.951504","-4.766798","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/68f1f3b28/169788461/68f1f3b28310d78bd502a2d2bd11139d_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8dcc3a194/169788461/8dcc3a194b76d4963044d9e9e2aee8cb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0da753179/169788461/0da753179ffafc5b61a6c416ef64cfb0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0c7c9a023/169788461/0c7c9a02373a3c8e2bdf4de835be56d8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b9c718e1d/169788461/b9c718e1dc5ad83d2fb4c4885ebd86e5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b66610222/169788461/b66610222dab799310090958370c9dfb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/602a17748/169788461/602a177484e8772ef51a59ebd4e2b084_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/28a70c1eb/169788461/28a70c1eb9b6701676c31a19f0a2841d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/340217ce7/169788461/340217ce74da9981d0a91cbc08a1d97c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4fe997ec0/169788461/4fe997ec0ae175a1745710c753c3e7a4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/456ef75cf/169788461/456ef75cf69bf6b7a164f3b2f1d4803e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f6a03a9e8/169788461/f6a03a9e8bcc37bb6d92b25206f4dcb0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c3d473746/169788461/c3d47374672cabaaab6cd62a74f4f5d8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/464aacaad/169788461/464aacaad3b0c4510aecb023b094f3bd_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fbd237a3e/169788461/fbd237a3ec5378f2d5bdad2a0ad985ae_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0eb2fa82b/169788461/0eb2fa82bd64be8acc77056d0b2584ea_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9fb96ee5b/169788461/9fb96ee5beb24ae294437f285bec1534_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8a31bb083/169788461/8a31bb083cd5c8951c53d2e97468db28_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d61f38449/169788461/d61f38449eb9901c92c520a983724102_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1bb693c11/169788461/1bb693c11436211a60fef012bacb8f39_max_476x317.jpeg"
"169787855","Inverclyde","Office","20 Union Street, Greenock, PA16","£450 pcm","","","","Step into a workspace that makes business feel good.","https://www.rightmove.co.uk/properties/169787855#/?channel=COM_LET","2025-11-27T15:41:31Z","","price_reduced","Marketed by McArthur Scott, Gourock","","55.951504","-4.766798","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787855/182993_f75b7e32-239c-4c3a-a84e-ededb3bf6053_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787855/182993_f75b7e32-239c-4c3a-a84e-ededb3bf6053_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787855/182993_f75b7e32-239c-4c3a-a84e-ededb3bf6053_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787855/182993_f75b7e32-239c-4c3a-a84e-ededb3bf6053_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787855/182993_f75b7e32-239c-4c3a-a84e-ededb3bf6053_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787855/182993_f75b7e32-239c-4c3a-a84e-ededb3bf6053_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787855/182993_f75b7e32-239c-4c3a-a84e-ededb3bf6053_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787855/182993_f75b7e32-239c-4c3a-a84e-ededb3bf6053_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787855/182993_f75b7e32-239c-4c3a-a84e-ededb3bf6053_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787855/182993_f75b7e32-239c-4c3a-a84e-ededb3bf6053_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787855/182993_f75b7e32-239c-4c3a-a84e-ededb3bf6053_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787855/182993_f75b7e32-239c-4c3a-a84e-ededb3bf6053_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787855/182993_f75b7e32-239c-4c3a-a84e-ededb3bf6053_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787855/182993_f75b7e32-239c-4c3a-a84e-ededb3bf6053_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787855/182993_f75b7e32-239c-4c3a-a84e-ededb3bf6053_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787855/182993_f75b7e32-239c-4c3a-a84e-ededb3bf6053_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787855/182993_f75b7e32-239c-4c3a-a84e-ededb3bf6053_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787855/182993_f75b7e32-239c-4c3a-a84e-ededb3bf6053_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787855/182993_f75b7e32-239c-4c3a-a84e-ededb3bf6053_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787855/182993_f75b7e32-239c-4c3a-a84e-ededb3bf6053_IMG_19_0000_max_476x317.jpeg"
"169787744","Inverclyde","Office","Suite 1 20 Union Street Greenock PA16 8JL","£595 pcm","","","","Step into a workspace that makes business feel good.","https://www.rightmove.co.uk/properties/169787744#/?channel=COM_LET","2025-11-27T15:40:09Z","","new","Marketed by McArthur Scott, Gourock","","55.951504","-4.766798","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787744/182993_6d781d94-759c-40f1-b462-40d7cb9d4ffb_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787744/182993_6d781d94-759c-40f1-b462-40d7cb9d4ffb_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787744/182993_6d781d94-759c-40f1-b462-40d7cb9d4ffb_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787744/182993_6d781d94-759c-40f1-b462-40d7cb9d4ffb_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787744/182993_6d781d94-759c-40f1-b462-40d7cb9d4ffb_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787744/182993_6d781d94-759c-40f1-b462-40d7cb9d4ffb_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787744/182993_6d781d94-759c-40f1-b462-40d7cb9d4ffb_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787744/182993_6d781d94-759c-40f1-b462-40d7cb9d4ffb_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787744/182993_6d781d94-759c-40f1-b462-40d7cb9d4ffb_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787744/182993_6d781d94-759c-40f1-b462-40d7cb9d4ffb_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787744/182993_6d781d94-759c-40f1-b462-40d7cb9d4ffb_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787744/182993_6d781d94-759c-40f1-b462-40d7cb9d4ffb_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787744/182993_6d781d94-759c-40f1-b462-40d7cb9d4ffb_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787744/182993_6d781d94-759c-40f1-b462-40d7cb9d4ffb_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787744/182993_6d781d94-759c-40f1-b462-40d7cb9d4ffb_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787744/182993_6d781d94-759c-40f1-b462-40d7cb9d4ffb_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787744/182993_6d781d94-759c-40f1-b462-40d7cb9d4ffb_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787744/182993_6d781d94-759c-40f1-b462-40d7cb9d4ffb_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787744/182993_6d781d94-759c-40f1-b462-40d7cb9d4ffb_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182993/169787744/182993_6d781d94-759c-40f1-b462-40d7cb9d4ffb_IMG_19_0000_max_476x317.jpeg"
"169645766","Inverclyde","Garage","Lemmon Street, Greenock, Greenock, PA15","£250 pcm","","","","Garage - To Let £250 PCM, £1.55 PER SQ FT | 161 SQ FT This garage located in central Greenock is likely to be attractive to businesses in need of a lock-up/secure store and is available to let through Bowman Rebecchi - The Home of Property.","https://www.rightmove.co.uk/properties/169645766#/?channel=COM_LET","2025-11-24T11:42:59Z","","new","Marketed by Bowman Rebecchi, Gourock","","55.94168","-4.77159","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/86fc2102d/169645766/86fc2102d8d5c4a4ea5bd24715285aad_max_476x317.jpeg"
"168961364","Inverclyde","Commercial Property","Crawfurd Street, Greenock","£1,250 pcm","","","","Forming part of the iconic ""Telegraph house"" Business Centre is this first floor space. Suite 2, accessed from its own entry, offers the opportunity for a wide variety of uses. Telegraph House is fast becoming a ""destination location"" for the hair and beauty sector, although the previous tenants ...","https://www.rightmove.co.uk/properties/168961364#/?channel=COM_LET","2025-11-04T11:05:20Z","","new","Marketed by Kilglen, Greenock","","55.953071","-4.762274","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242057/168961364/242057_34283803_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242057/168961364/242057_34283803_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242057/168961364/242057_34283803_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242057/168961364/242057_34283803_IMG_03_0000_max_476x317.png"
"168262895","Inverclyde","Commercial Property","Clarence St, Greenock","£500 pcm","","","1","Marketed by RoJoe Properties. Commercial 1st Floor Unit located in a popular area of central Greenock. A great location - directly across from Aldi car park - attracting a large number of passing footfall. Includes - Front main office Private office","https://www.rightmove.co.uk/properties/168262895#/?channel=COM_LET","2025-10-16T15:00:31Z","","new","Marketed by Rojoe Properties, Greenock","","55.953243","-4.762196","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/168262895/287054_627_HFIN_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/168262895/287054_627_HFIN_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/168262895/287054_627_HFIN_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/168262895/287054_627_HFIN_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/168262895/287054_627_HFIN_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/168262895/287054_627_HFIN_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/168262895/287054_627_HFIN_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/168262895/287054_627_HFIN_IMG_07_0000_max_476x317.jpeg"
"166626383","Inverclyde","Commercial Property","Ardgowan Square, Greenock","£448 pcm","From","","1","****New office suites now available**** Inver House Business Centre occupies a prime Greenock West End location, close to local bus and train links and 7 miles from the M8. Front facing suites having wonderful views over the Ardgowan Tennis Club.","https://www.rightmove.co.uk/properties/166626383#/?channel=COM_LET","2025-09-05T11:30:56Z","","new","Marketed by Rojoe Properties, Greenock","","55.952324","-4.767497","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/166626383/287054_434_HFIN_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/166626383/287054_434_HFIN_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/166626383/287054_434_HFIN_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/166626383/287054_434_HFIN_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/166626383/287054_434_HFIN_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/166626383/287054_434_HFIN_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/166626383/287054_434_HFIN_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/166626383/287054_434_HFIN_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/166626383/287054_434_HFIN_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/166626383/287054_434_HFIN_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/166626383/287054_434_HFIN_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/166626383/287054_434_HFIN_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/166626383/287054_434_HFIN_IMG_12_0000_max_476x317.jpeg"
"166233443","Inverclyde","Retail Property (high street)","Ground Floor Telegraph House, 2 Crawfurd Street, Greenock. PA15 1LH","£2,250 pcm","","","","Telegraph House, 2 Crawfurd Street, Greenock. PA15 1LH This wonderfully iconic building has been recently developed into the newest business centre in the centre of Greenock. The former Headquarters of the Greenock Telegraph has been repurposed to offer 7 rear workshop units, 1 main stre...","https://www.rightmove.co.uk/properties/166233443#/?channel=COM_LET","2025-08-26T16:58:28Z","","price_reduced","Marketed by Kilglen, Greenock","","55.952934","-4.762228","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242057/166233443/242057_34128560_IMG_02_0001_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242057/166233443/242057_34128560_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242057/166233443/242057_34128560_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242057/166233443/242057_34128560_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242057/166233443/242057_34128560_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242057/166233443/242057_34128560_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242057/166233443/242057_34128560_IMG_01_0001_max_476x317.png"
